project,condition,n_runs,successes,success_rate,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s,success_pct
TinyRISCV64,A: compiler stderr,10,8,0.8,4.6,4.0,128.0308579618001,91.08609359449974,80.0
TinyRISCV64,B: stderr + LSP diagnostics,10,9,0.9,4.7,5.0,163.20715519389995,105.48857492549996,90.0
argh,A: compiler stderr,10,8,0.8,2.3,1.0,43.3632772351,19.384402394000006,80.0
argh,B: stderr + LSP diagnostics,10,10,1.0,0.6,0.0,19.997108601700013,13.091375157000018,100.0
debug_assert,A: compiler stderr,6,6,1.0,3.0,3.0,28.044206871833353,27.43974854099997,100.0
debug_assert,B: stderr + LSP diagnostics,6,6,1.0,2.6666666666666665,2.0,33.74533611216672,26.951362864999965,100.0
immediate2d,A: compiler stderr,26,24,0.9230769230769231,1.9230769230769231,1.0,47.72993895376921,25.76411759100006,92.3
immediate2d,B: stderr + LSP diagnostics,26,25,0.9615384615384616,1.6153846153846154,1.0,56.95263609780768,42.8732809605001,96.2
poisson-disk-generator,A: compiler stderr,4,4,1.0,1.75,2.0,93.36345913924993,78.30648960249982,100.0
poisson-disk-generator,B: stderr + LSP diagnostics,4,4,1.0,1.5,1.5,82.28202048424987,65.39174436799976,100.0
polypartition,A: compiler stderr,14,14,1.0,1.7142857142857142,1.0,63.7730305340001,65.55627430449977,100.0
polypartition,B: stderr + LSP diagnostics,14,14,1.0,1.5714285714285714,1.0,69.7909710095001,43.74236205650004,100.0
